epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7792,1.6634,1.62582,1.30438,0,0,0,0,0,11916.2,0,0.00332375,0.00332375,0.00332375
2,167.68,1.20919,0.76884,1.05082,0,0,0,0,0,inf,0,0.00659118,0.00659118,0.00659118
3,241.289,1.11508,0.69031,0.99877,0,0,0,0,0,15232.9,0,0.00979261,0.00979261,0.00979261
4,314.567,0.99109,0.61369,0.95509,0,0,0,0,0,inf,0,0.009703,0.009703,0.009703
5,388.036,0.89907,0.55073,0.92449,0,0,0,0,0,inf,0,0.009604,0.009604,0.009604
6,462.435,0.84117,0.51225,0.90575,0,0,0,0,0,inf,0,0.009505,0.009505,0.009505
7,535.1,0.78955,0.4816,0.89374,0,0,0,0,0,inf,0,0.009406,0.009406,0.009406
8,610.237,0.7539,0.4548,0.88325,0,0,0,0,0,inf,0,0.009307,0.009307,0.009307
9,682.61,0.71525,0.43745,0.87401,0,0,0,0,0,inf,0,0.009208,0.009208,0.009208
10,753.72,0.69151,0.41813,0.86837,0,0,0,0,0,inf,0,0.009109,0.009109,0.009109
11,823.484,0.66708,0.4081,0.86405,0,0,0,0,0,inf,0,0.00901,0.00901,0.00901
12,894.841,0.65249,0.3975,0.85867,0,0,0,0,0,inf,0,0.008911,0.008911,0.008911
13,966.023,0.63313,0.38495,0.85554,0,0,0,0,0,inf,0,0.008812,0.008812,0.008812
14,1037.66,0.61885,0.37333,0.85195,0,0,0,0,0,inf,0,0.008713,0.008713,0.008713
15,1111.52,0.60645,0.36545,0.84925,0,0,0,0,0,inf,0,0.008614,0.008614,0.008614
16,1185.41,0.59085,0.36001,0.84663,0,0,0,0,0,inf,0,0.008515,0.008515,0.008515
17,1260.81,0.58247,0.35395,0.84445,0,0,0,0,0,inf,0,0.008416,0.008416,0.008416
18,1338.06,0.57519,0.35045,0.84276,0,0,0,0,0,inf,0,0.008317,0.008317,0.008317
19,1414.75,0.562,0.34144,0.8388,0,0,0,0,0,inf,0,0.008218,0.008218,0.008218
20,1487.64,0.55551,0.33967,0.83793,0,0,0,0,0,inf,0,0.008119,0.008119,0.008119
21,1560.73,0.54961,0.33553,0.8368,0,0,0,0,0,inf,0,0.00802,0.00802,0.00802
22,1635.2,0.53961,0.32993,0.83331,0,0,0,0,0,inf,0,0.007921,0.007921,0.007921
23,1707.5,0.52805,0.32356,0.83203,0,0,0,0,0,inf,0,0.007822,0.007822,0.007822
24,1779.89,0.52286,0.31955,0.83009,0,0,0,0,0,inf,0,0.007723,0.007723,0.007723
25,1854.47,0.51791,0.3175,0.83014,0,0,0,0,0,inf,0,0.007624,0.007624,0.007624
26,1926.95,0.51661,0.3161,0.82935,0,0,0,0,0,inf,0,0.007525,0.007525,0.007525
27,1998.51,0.50522,0.31064,0.82666,0,0,0,0,0,inf,0,0.007426,0.007426,0.007426
28,2071.36,0.4987,0.3066,0.8265,0,0,0,0,0,inf,0,0.007327,0.007327,0.007327
29,2142.8,0.49336,0.30226,0.82469,0,0,0,0,0,inf,0,0.007228,0.007228,0.007228
30,2213.86,0.48927,0.30001,0.82322,0,0,0,0,0,inf,0,0.007129,0.007129,0.007129
31,2284.4,0.48387,0.29744,0.82211,0,0,0,0,0,inf,0,0.00703,0.00703,0.00703
32,2354.73,0.47866,0.29567,0.82106,0,0,0,0,0,inf,0,0.006931,0.006931,0.006931
33,2424.76,0.47387,0.29184,0.81956,0,0,0,0,0,inf,0,0.006832,0.006832,0.006832
34,2496.22,0.46933,0.29137,0.82008,0,0,0,0,0,inf,0,0.006733,0.006733,0.006733
35,2572.23,0.46484,0.28805,0.81921,0,0,0,0,0,inf,0,0.006634,0.006634,0.006634
36,2642.36,0.46408,0.28767,0.81835,0,0,0,0,0,inf,0,0.006535,0.006535,0.006535
37,2716.46,0.45766,0.28522,0.81746,0,0,0,0,0,inf,0,0.006436,0.006436,0.006436
38,2790.08,0.45434,0.28266,0.81682,0,0,0,0,0,inf,0,0.006337,0.006337,0.006337
39,2859.99,0.44899,0.27778,0.81595,0,0,0,0,0,inf,0,0.006238,0.006238,0.006238
40,2932.01,0.44852,0.27821,0.81547,0,0,0,0,0,inf,0,0.006139,0.006139,0.006139
41,3003.62,0.44444,0.27555,0.81436,0,0,0,0,0,inf,0,0.00604,0.00604,0.00604
42,3076.67,0.43844,0.27356,0.81362,0,0,0,0,0,inf,0,0.005941,0.005941,0.005941
43,3147.4,0.4363,0.27172,0.81292,0,0,0,0,0,inf,0,0.005842,0.005842,0.005842
44,3218.47,0.43117,0.26919,0.81254,0,0,0,0,0,inf,0,0.005743,0.005743,0.005743
45,3287.6,0.42771,0.26773,0.81215,0,0,0,0,0,inf,0,0.005644,0.005644,0.005644
46,3358.38,0.42375,0.26478,0.81174,0,0,0,0,0,inf,0,0.005545,0.005545,0.005545
47,3430.24,0.42265,0.26678,0.81139,0,0,0,0,0,inf,0,0.005446,0.005446,0.005446
48,3501.58,0.4182,0.26136,0.80974,0,0,0,0,0,inf,0,0.005347,0.005347,0.005347
49,3572.99,0.41566,0.26065,0.8091,0,0,0,0,0,inf,0,0.005248,0.005248,0.005248
50,3647.22,0.41367,0.2604,0.80959,0,0,0,0,0,inf,0,0.005149,0.005149,0.005149
51,3718.35,0.4097,0.25939,0.80881,0,0,0,0,0,inf,0,0.00505,0.00505,0.00505
52,3788.6,0.40648,0.25574,0.80792,0,0,0,0,0,inf,0,0.004951,0.004951,0.004951
53,3860.08,0.40217,0.25489,0.80795,0,0,0,0,0,inf,0,0.004852,0.004852,0.004852
54,3931.83,0.40207,0.2543,0.8073,0,0,0,0,0,inf,0,0.004753,0.004753,0.004753
55,4000.64,0.40071,0.25352,0.80716,0,0,0,0,0,inf,0,0.004654,0.004654,0.004654
56,4072.33,0.39608,0.2516,0.80627,0,0,0,0,0,inf,0,0.004555,0.004555,0.004555
57,4142.31,0.39259,0.2489,0.80576,0,0,0,0,0,inf,0,0.004456,0.004456,0.004456
58,4213.6,0.39005,0.25101,0.80555,0,0,0,0,0,inf,0,0.004357,0.004357,0.004357
59,4284.38,0.38812,0.24648,0.80555,0,0,0,0,0,inf,0,0.004258,0.004258,0.004258
60,4354.7,0.38287,0.24442,0.80428,0,0,0,0,0,inf,0,0.004159,0.004159,0.004159
61,4425.96,0.38347,0.24568,0.8052,0,0,0,0,0,inf,0,0.00406,0.00406,0.00406
62,4497.42,0.37998,0.24325,0.80368,0,0,0,0,0,inf,0,0.003961,0.003961,0.003961
63,4569.01,0.37855,0.24266,0.80379,0,0,0,0,0,inf,0,0.003862,0.003862,0.003862
64,4639.19,0.37494,0.24224,0.80346,0,0,0,0,0,inf,0,0.003763,0.003763,0.003763
65,4708.25,0.37101,0.23982,0.8031,0,0,0,0,0,inf,0,0.003664,0.003664,0.003664
66,4778.58,0.37107,0.23912,0.80228,0,0,0,0,0,inf,0,0.003565,0.003565,0.003565
67,4848.16,0.36586,0.23593,0.80187,0,0,0,0,0,inf,0,0.003466,0.003466,0.003466
68,4920.4,0.36426,0.23487,0.80156,0,0,0,0,0,inf,0,0.003367,0.003367,0.003367
69,4993.45,0.36171,0.2333,0.80054,0,0,0,0,0,inf,0,0.003268,0.003268,0.003268
70,5066.46,0.36032,0.23346,0.80103,0,0,0,0,0,inf,0,0.003169,0.003169,0.003169
71,5138.99,0.35788,0.23291,0.80056,0,0,0,0,0,inf,0,0.00307,0.00307,0.00307
72,5211.51,0.35662,0.23236,0.7997,0,0,0,0,0,inf,0,0.002971,0.002971,0.002971
73,5284.11,0.35276,0.22972,0.79945,0,0,0,0,0,inf,0,0.002872,0.002872,0.002872
74,5356.72,0.35217,0.23019,0.79976,0,0,0,0,0,inf,0,0.002773,0.002773,0.002773
75,5429.98,0.3471,0.22809,0.7991,0,0,0,0,0,inf,0,0.002674,0.002674,0.002674
76,5504.19,0.34711,0.22618,0.79882,0,0,0,0,0,inf,0,0.002575,0.002575,0.002575
77,5574.63,0.3433,0.22491,0.79785,0,0,0,0,0,inf,0,0.002476,0.002476,0.002476
78,5645.97,0.34119,0.22399,0.79798,0,0,0,0,0,inf,0,0.002377,0.002377,0.002377
79,5718.56,0.34044,0.22414,0.79796,0,0,0,0,0,inf,0,0.002278,0.002278,0.002278
80,5790.78,0.33611,0.22171,0.79725,0,0,0,0,0,inf,0,0.002179,0.002179,0.002179
